Gattung;Zugnummer;Hängt an Zugnummer$Flügelrichtung (v = nach vorne, h = nach hinten, ohne Angabe = kein Flügeln);Herkunft;Startbetriebsstelle;aus Richtung;Fahrtziel;Zielbetriebsstelle;Gleis;an;ab;min. Aufenthalt;rangiert um;weiter als;Vereinigt sich mit Zugnummern ($-getrennt);Kann das Gleis mit Zügen teilen (Zugnummern durch $ getrennt)
RE;4890;;Braunschweig Hbf;von Lehrte;O;Braunschweig Hbf;nach Lehrte;Gleis 12;00:00;00:12;5;;RE 4891;;
RE;14036;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;00:07;00:19;2;;;;
RE;4400;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 11;00:09;00:21;2;;;;
ICE;102;;Basel SBB;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;00:14;00:26;2;;;;
S3;34338;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 14;00:19;00:35;5;;S3 34301;;
RE;4439;;Norddeich Mole;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 10;00:35;00:45;2;;;;
CNL;40447;447$v;Amsterdam Centraal;von Wunstorf;W;Koebenhavn H;nach Langenhagen;Gleis 9;01:41;02:36;5;02:10;;472;472$40456
EN;447;;Amsterdam Centraal;von Wunstorf;W;Warszawa Wschodnia;nach Lehrte;Gleis 10;01:41;02:40;2;;;;50472$50473
CNL;457;447;Amsterdam Centraal;von Wunstorf;W;Praha hl.n.;nach Lehrte;Gleis 10;01:41;02:40;2;;;;
CNL;472;;Basel SBB;von Alfeld;O;Koebenhavn H;nach Langenhagen;Gleis 9;01:58;02:36;2;;;;40447$40456
D;50472;472$h;Basel SBB;von Alfeld;O;Moskva Belorusskaja;nach Lehrte;Gleis 10;01:58;02:40;5;02:15;;447;447$50473
CNL;50473;473$h;Koebenhavn H;von Langenhagen;W;Praha hl.n.;nach Lehrte;Gleis 10;02:09;02:40;5;02:20;;447;447$50472
CNL;473;;Koebenhavn H;von Langenhagen;W;Basel SBB;nach Alfeld;Gleis 7;02:09;02:51;2;;;;40446
CNL;40473;473$v;Koebenhavn H;von Langenhagen;W;Amsterdam Centraal;nach Wunstorf;Gleis 8;02:09;03:02;5;02:25;;446;446
CNL;40456;446$v;Praha hl.n.;von Lehrte;O;Koebenhavn H;nach Langenhagen;Gleis 9;02:11;02:36;5;02:22;;472;472$40447
D;40446;446$h;Moskva Belorusskaja;von Lehrte;O;Basel SBB;nach Alfeld;Gleis 7;02:11;02:51;5;02:23;;473;473
EN;446;;Warszawa Wschodnia;von Lehrte;O;Amsterdam Centraal;nach Wunstorf;Gleis 8;02:11;03:02;2;;;;40473
CNL;456;446;Praha hl.n.;von Lehrte;O;Amsterdam Centraal;nach Wunstorf;Gleis 8;02:11;03:02;2;;;;
IC;2178;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Hamburg-Altona;nach Langenhagen;Gleis 8;04:37;04:58;2;;;;
RE;4893;;Minden(Westf);von Wunstorf;W;Helmstedt;nach Lehrte;Gleis 10;04:42;04:48;2;;;;
S7;34009;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 13;04:49;05:04;5;;S7 34010;;
IC;2233;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Leipzig Hbf;nach Alfeld;Gleis 4;04:54;05:07;5;;;;
RE;4840;;Braunschweig Hbf;von Lehrte;O;Rheine;nach Wunstorf;Gleis 12;05:00;05:09;2;;;;
ICE;649;;Hannover-Hainholz;von Langenhagen;W;Berlin Ostbahnhof;nach Lehrte;Gleis 10;05:06;05:27;2;;;;
RE;4402;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Norddeich Mole;nach Wunstorf;Gleis 12;05:09;05:21;2;;;;
ME;82811;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 7;05:10;05:36;2;;;;
ICE;591;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;05:13;05:20;2;;;;
S3;34300;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 14;05:19;05:34;5;;S3 34303;;34600
CNL;1286;;München Ost;von Lehrte;O;Hamburg-Altona;nach Wunstorf;Gleis 9;05:20;05:30;2;;;;
ICE;103;;Hannover-Hainholz;von Langenhagen;W;Basel SBB;nach Wunstorf;Gleis 11;05:21;05:40;5;;;;
ME;82812;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;05:21;05:40;2;;;;
S6;34600;;Hannover-Hainholz;von Langenhagen;W;Celle;nach Lehrte;Gleis 14;05:26;05:41;2;;;;34300
RE;4401;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 10;05:34;05:45;2;;;;
